,ID,Name,Address,X,Y,Country
96,5703,Distinction Dunedin Hotel,"Distinction Dunedin Hotel, Princes Street, Dunedin Central, Dunedin, Dunedin City, Otago, 916, New Zealand / Aotearoa",170.501419972424,-45.8786762,NZ
97,5704,Distinction Fox Glacier Te Weheka Hotel,"Distinction Fox Glacier Te Weheka, Sullivan Road, Fox Glacier, Westland District, West Coast, 7859, New Zealand / Aotearoa",170.0196989,-43.4639733,NZ
98,5705,Duke of Marlborough Hotel,"Duke of Marlborough Hotel, 35, The Strand, Russell, Far North District, Northland, 0202, New Zealand",174.1214222,-35.2612066,NZ
99,5724,Heartland Hotel Cotswold,"Heartland Hotel, Cotswold, Holly Road, Merivale, Christchurch City, Canterbury, 8014, New Zealand",172.6255315,-43.5166731,NZ
100,5725,Heartland Hotel Fox Glacier,"Heartland Hotel, Cook Flat Road, Fox Glacier, Westland District, West Coast, 7859, New Zealand / Aotearoa",170.0166221,-43.4645308,NZ
101,5726,Heartland Hotel Glacier Country,,,,NZ
102,5727,Heartland World Heritage Hotel,,,,NZ
103,5731,Heritage Gateway Hotel Omarama,,,,NZ
104,5733,Hidden Lake Hotel and Apartments,,,,NZ
105,5737,Hotel St Clair,"Hôtel Saint-Clair, Rue Faubourg Saint-Armel, Ker Jeanne, Intramuros, Guérande, Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44350, France",-2.42908914857088,47.3251688,NZ
106,5762,Marlborough Vintners Hotel,"Marlborough Vintners Hotel, Rapaura Road, Renwick, Marlborough, 7273, New Zealand / Aotearoa",173.8395226,-41.4844314,NZ
107,5763,Martinborough Hotel,"The Martinborough Hotel, Kitchener Street, Martinborough, South Wairarapa District, Wellington, 5711, New Zealand / Aotearoa",175.4589048,-41.2181571,NZ
108,5769,Millennium Hotel & Resort Manuels Taupo,,,,NZ
109,5784,Novotel Christchurch Cathedral Square,"Novotel, Cathedral Square, Sydenham, Christchurch City, Canterbury, 8011, New Zealand",172.637644568926,-43.53029455,NZ
110,5785,Novotel Queenstown Lakeside,,,,NZ
111,5823,Ramada Hotel & Suites Christchurch,,,,NZ
112,5824,Ramada Remarkables Hotel Queenstown,,,,NZ
113,5840,Sarin Hotels,,,,NZ
114,5841,Scenic Hotel Southern Cross,"Southern Cross, Pacific Crest Trail, Chelan County, Washington, United States",-121.0790251,47.7388763,NZ
115,5846,Sofitel Queenstown Hotel and Spa,,,,NZ
116,5860,The Executive Residence Boutique Hotel,,,,NZ
117,5864,The Henley Hotel Cambridge,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",-74.0167815,40.7681636,NZ
118,5867,The Mount Cook Hotel Collection,,,,NZ
119,5870,Thorndon Hotel Wellington by Rydges,,,,NZ
